DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
LCH,ACC,1346.4,3022,November,
GRR,ACC,2985.98,2986,December,
CLL,ACC,1329.49,1385,October,
RST,ACC,2259.6,2260,December,
STC,ACC,2473.64,2474,December,
XDS,ACC,1242.48,1242,December,
ELM,ACC,1760.28,1760,November,
BGM,ACC,1662.74,1663,November,
TLH,ACC,1709.76,3161,December,
,1709.76,3161,December,
AUS,ACC,1379.33,1644,November,
LCY,ACC,1117.03,1629,October,
BPT,ACC,1329.49,1387,October,
TYS,ACC,1795.37,3516,December,
PVD,ACC,1393.54,1989,October,
MKE,ACC,1504.63,2076,May,
MIA,ACV,465.7,696,November,
SYR,ACV,852,852,March,
FLL,ACV,382.7,610,November,
YYZ,ACV,712.259,712,March,
JAX,ACV,789.2,789,December,
SFO,ACV,376.88,377,November,
MCO,ACV,734.175,734,December,
IAD,ACV,584.045,584,June,
SMF,ACV,364.377,364,November,
PBI,ACV,717.145,916,October,
MCO,ACY,167.1,219,November,
ORD,ACY,147.8,259,May,
FLL,ACY,234.2,374,December,
JAX,ACY,536.2,728,November,
MIA,ACY,795.85,842,December,
ATL,ACY,72.1,135,October,
PBI,ACY,244.2,416,December,
CMH,ACY,433.6,471,October,
CAE,ACY,711.8,712,November,
CVG,ACY,455.2,531,November,
FWA,ACY,582.8,639,December,
HOU,ACY,864.3,948,January,
IAH,ACY,427.7,446,March,
BNA,ACY,528.3,622,October,
BUF,ACY,559.8,682,November,
MCI,ACY,504.2,504,October,
LGB,ACY,1703.2,1703,October,
BOS,ACY,450.2,894,October,
LAX,ACY,532.1,591,November,
TYS,ACY,644.3,644,November,
ONT,ACY,577.6,680,November,
SNA,ACY,580.1,668,November,
BUR,ACY,585.6,651,November,
HSV,ACY,785.3,809,November,
RSW,ACY,638.2,769,November,
ILM,ACY,843.8,844,November,
TIJ,ACY,1424.17,1424,October,
SAN,ACY,1216.2,1216,October,
CLD,ACY,1402.7,1403,October,
LAS,ADD,1275.01,1275,March,
LAX,ADD,868.94,1331,February,
IAD,ADD,940.58,1283,November,
LGB,ADD,1260.82,1743,February,
DEN,ADD,1481.31,1481,December,
ORD,ADD,1073.3,1073,November,
LGA,ADD,1044.97,1540,October,
JFK,ADD,892.716,1117,November,
EWR,ADD,1038.5,1388,November,
DFW,ADD,1436.9,1437,May,
PSP,ADD,1492.93,1493,March,
DCA,ADD,998.18,1100,November,
PHL,ADD,1077.2,1530,November,
BWI,ADD,1228.38,1228,November,
BUR,ADD,1754.16,2208,December,
SNA,ADD,2693.8,2694,December,
COS,ADD,1932.88,1933,December,
OKC,ADD,1849.8,1850,May,
ONT,ADD,2647.2,2647,December,
HPN,ADD,2768.34,2768,October,
ACT,ADD,1868.82,1869,May,
DAL,ADD,1811.76,1812,May,
HBA,ADL,145.68,146,October,
ATL,ADL,1634.76,2208,October,
LAX,ADL,1465.1,1690,November,
ORD,ADL,1859.87,1860,November,
LST,ADL,124.711,125,October,
JFK,ADL,1944.58,1945,January,
SFO,ADL,994.4,1410,October,
EWR,ADL,1899.08,1899,January,
DPO,ADL,353.959,354,October,
OAK,ADL,1643.61,1742,October,
SJC,ADL,1455.12,1680,October,
SYD,ADL,183.76,184,December,
LGA,ADL,2341.13,2341,January,
LGB,ADL,1952.83,2108,November,
BHM,ADL,2046.61,2621,October,
