DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
GRR,COS,219.279,321,May,
SEA,COS,140.353,207,October,
LGA,COS,332.15,404,October,
GPT,COS,443,443,April,
CLE,COS,303.064,364,January,
CLL,COS,230.55,244,December,
GSO,COS,304.602,399,October,
MSN,COS,291.718,318,December,
FNT,COS,302.409,344,May,
YEG,COS,251.062,445,November,
SAT,COS,302.198,365,October,
YUL,COS,253.24,373,December,
AUS,COS,302.198,413,October,
BNA,COS,354.472,471,November,
CVG,COS,305.642,348,January,
DCA,COS,176.015,390,October,
MCI,COS,289.735,333,February,
DTW,COS,306.71,351,January,
IAD,COS,176.015,305,October,
COD,COS,284.743,365,October,
BIL,COS,251.888,333,October,
SFO,COS,199.417,369,November,
PDX,COS,152.279,220,October,
ONT,COS,151.55,320,November,
DFW,COU,380.65,381,October,
OKC,COU,357.011,357,October,
ACT,COU,493.568,494,October,
DAL,COU,935.8,936,October,
LAX,CPH,546.2,826,November,
PHL,CPH,511.1,845,November,
FLL,CPH,445.18,445,October,
SEA,CPH,830.539,858,October,
MIA,CPH,883.08,883,October,
DEN,CPH,878.269,878,November,
SAN,CPH,988.14,995,February,
EWR,CPH,462.145,566,November,
JFK,CPH,462.145,591,November,
SNA,CPH,597.72,1038,November,
LGA,CPH,479.96,617,November,
PDX,CPH,945.418,1055,February,
PHX,CPH,999.52,1000,October,
LAS,CPH,1063.72,1064,October,
CLD,CPH,1007.12,1035,November,
MSP,CPH,986,986,March,
ORD,CPH,697.78,698,October,
IAD,CPH,645.938,646,November,
FAT,CPH,1643.36,1643,July,
DTW,CPH,873.06,873,February,
ATL,CPH,1001.96,1002,October,
SLC,CPH,1238.38,1238,May,
DCA,CPH,938,938,November,
LGB,CPH,597.72,1238,November,
YQG,CPH,863.294,863,February,
YVR,CPH,865.64,872,October,
PBI,CPH,558.6,559,October,
LGW,CPH,64.6997,77,November,
BUR,CPH,599.54,1103,November,
PSP,CPH,1101.84,2827,November,
COS,CPH,920.364,920,November,
ONT,CPH,1087.6,1088,December,
MDW,CPH,793.321,793,October,
STN,CPH,224.366,242,November,
LHR,CPH,67.7643,86,October,
TOL,CPH,1080.92,1081,February,
LTN,CPH,70.9849,71,November,
CHA,CPH,1122.66,1123,October,
BHM,CPH,971.636,972,October,
TIJ,CPH,1538.07,2040,November,
SBN,CPH,957.08,957,October,
RST,CPH,1592.57,1593,March,
STC,CPH,1178.16,1178,March,
BWI,CPH,1140.08,1140,November,
SJC,CPH,1658.82,1659,July,
TUS,CPH,3405,3405,October,
LCY,CPH,257.31,621,October,
PIT,CPR,451.5,452,October,
LHR,CPT,1055.69,1140,December,
LGW,CPT,957.63,1173,December,
YYZ,CPT,1056.05,2283,November,
DFW,CPT,7091.23,7091,December,
SEA,CPT,1590.94,1591,May,
IAD,CPT,1086.99,2343,April,
JFK,CPT,1129.76,2494,April,
SFO,CPT,1235.84,1645,January,
EWR,CPT,1277.69,3249,October,
LCY,CPT,1355.49,1494,January,
DCA,CPT,1659.88,4271,April,
PHL,CPT,1348.94,1654,October,
IAH,CPT,2815.52,2816,December,
BWI,CPT,1774.25,4470,April,
DEN,CPT,1439.43,1439,October,
BOS,CPT,1993.84,1994,December,
FRA,CPT,780.22,949,November,
LAX,CPT,1408.85,1409,January,
LGA,CPT,1555.95,3894,January,
GLA,CPT,1150.36,1150,October,
OAK,CPT,2611.31,2611,December,
JNB,CPT,116.905,187,November,
YTZ,CPT,1221.95,2709,November,
SJC,CPT,1927.61,2379,January,
DAL,CPT,10122.8,10123,December,
EDI,CPT,1239.21,1239,October,
YHM,CPT,4673.67,9762,November,
MRY,CPT,2050.52,2585,January,
LGB,CPT,1995.25,1995,January,
AUS,CPT,3986.83,3987,December,
BUF,CPT,1550.55,1551,November,
SMF,CPT,2329.71,2330,December,
HPN,CPT,2299.07,2299,October,
COS,CPT,2271.18,2271,October,
GRK,CPT,11583.6,11584,December,
HOU,CPT,5340.6,5341,December,
OKC,CPT,11091.5,11092,December,
BDL,CPT,2873.5,2874,December,
BPT,CPT,4525.27,4525,December,
SNA,CPT,1761.65,1762,January,
LCH,CPT,4244.3,4244,December,
BUR,CPT,1691.13,1691,January,
CLL,CPT,4133.18,4133,December,
MOD,CPT,3119.22,3119,December,
YKF,CPT,2146.65,2147,November,
PVD,CPT,2873.5,2874,December,
ACY,CPT,5468.8,5469,October,
MHT,CPT,2873.5,2874,December,
LGA,CRP,158.55,294,January,
EWR,CRP,168.55,322,January,
ATL,CRP,174.55,288,October,
YYZ,CRP,261.669,467,November,
LAX,CRP,163.55,365,November,
SFO,CRP,237.5,423,October,
DFW,CRP,75.2811,184,October,
DAL,CRP,143.393,223,October,
IAH,CRP,71.0508,120,November,
FLL,CRP,474.19,474,December,
DCA,CRP,186.178,322,January,
MIA,CRP,646.89,647,December,
HOU,CRP,206.55,283,November,
TPA,CRP,228.3,268,July,
IAD,CRP,186.178,331,January,
BHM,CRP,174.047,313,October,
OAK,CRP,314,621,October,
SEA,CRP,503.65,504,December,
BWI,CRP,186.178,309,January,
SJC,CRP,209.596,402,October,
CLL,CRP,210.42,290,November,
BPT,CRP,115.685,185,November,
JFK,CRP,223.05,420,January,
PHL,CRP,153.393,249,January,
BUR,CRP,169.05,567,November,
SNA,CRP,164.713,516,November,
YVR,CRP,819.989,820,December,
YTZ,CRP,847.415,917,November,
CHA,CRP,197.739,499,October,
HPN,CRP,275.1,556,January,
ACT,CRP,189.099,263,October,
LGB,CRP,356.428,369,November,
DEN,CRW,312.65,444,October,
LAX,CRW,310.05,447,November,
LAS,CRW,321.05,383,November,
DFW,CRW,319.65,367,December,
COS,CRW,302.947,357,October,
DAL,CRW,364.65,390,December,
MSY,CRW,245.55,338,October,
MHT,CRW,333.65,334,November,
FAT,CRW,795.4,795,July,
BUR,CRW,310.05,478,November,
SNA,CRW,320.914,466,November,
MCO,CRW,251.55,338,October,
TUS,CRW,384.313,432,October,
PHX,CRW,214.55,363,October,
ORD,CRW,207.55,335,November,
LGA,CRW,341.396,348,December,
JFK,CRW,341.396,348,December,
BOS,CRW,337.374,337,November,
BTR,CRW,213.962,328,October,
EWR,CRW,346.888,393,December,
PWM,CRW,272.106,272,November,
HPN,CRW,286.7,313,December,
PHL,CRW,181.701,242,November,
SRQ,CRW,244.152,338,October,
TPA,CRW,233.301,316,October,
PSP,CRW,406.265,473,November,
OKC,CRW,396.917,408,December,
MDW,CRW,209.05,336,November,
ONT,CRW,677.2,677,December,
SJC,CRW,705.475,705,July,
MLB,CRW,590.8,591,November,
LGB,CRW,355.05,596,November,
LHR,CSG,1407.21,1407,June,
YYZ,CSG,663.077,663,November,
ORD,CSG,810.027,810,April,
SNA,CSG,437.523,729,April,
SFO,CTA,1237.47,1490,October,
ORD,CTA,1182.1,1272,November,
YYZ,CTA,930.538,940,October,
PDX,CTA,1881.94,1882,July,
LHR,CTA,191.807,235,August,
LGW,CTA,253.06,377,August,
STN,CTA,349.973,350,August,
EWR,CTA,728.83,1095,July,
JFK,CTA,853.65,961,July,
LCY,CTA,199.091,229,August,
BWI,CTA,1558.3,1945,November,
PHL,CTA,1379.66,1604,November,
IAD,CTA,1373.25,1573,November,
LGA,CTA,1156.22,1906,October,
YTZ,CTA,1132.34,1132,October,
LAX,CTA,1684.46,1684,November,
SJC,CTA,1529.1,1606,December,
MDW,CTA,1233.36,1233,November,
SEA,CTA,1957.5,1958,July,
DCA,CTA,1363.17,1569,November,
PHX,CTA,1519.34,1519,October,
BUF,CTA,1267.07,1267,October,
OAK,CTA,1529.1,1529,December,
LAX,CTG,692.4,818,July,
MIA,CTG,521.116,591,November,
JFK,CTG,563.865,588,November,
LGA,CTG,683.64,716,November,
EWR,CTG,650.35,661,November,
CMH,CTG,913.71,914,February,
FLL,CTG,519.661,540,October,
LIN,CTG,1229.21,1860,November,
MXP,CTG,1036.24,1617,November,
DCA,CTG,814.121,1149,November,
IAD,CTG,683.677,1123,November,
IAH,CTG,901.458,1014,October,
BWI,CTG,1295.55,1368,December,
AUS,CTG,1322.84,1323,December,
TRN,CTG,1609.17,2518,January,
YUL,CTG,1082.91,1083,November,
PBI,CTG,722.2,722,February,
DAY,CTG,915.272,915,February,
FCO,CTG,1978.6,1979,January,
YYZ,CTG,705.74,741,November,
DEN,CTG,817.039,817,November,
VRN,CTG,3412.74,3819,November,
SNA,CTG,2151.23,2151,July,
SAT,CTG,1395.42,1395,December,
GRK,CTG,1245.65,1246,December,
PHL,CTG,1244.31,1244,November,
DFW,CTU,837.15,1559,October,
ORD,CTU,1317.48,1378,December,
YYZ,CTU,826.596,839,January,
RDU,CTU,996,1081,October,
IAH,CTU,1302.8,1406,May,
DAL,CTU,841.15,1539,October,
JFK,CTU,930.84,1305,November,
PHX,CTU,1092.17,1287,October,
SFO,CTU,922.78,1123,November,
EWR,CTU,1034.15,1361,November,
MDW,CTU,1317.48,1397,December,
LGA,CTU,1034.8,1418,November,
SBN,CTU,1383.85,1467,December,
OKC,CTU,1400.43,2367,October,
OAK,CTU,1411.78,1769,November,
SJC,CTU,1606.78,2170,December,
GSO,CTU,1251.71,1312,October,
BUF,CTU,1214.36,1338,November,
IAD,CTU,1211.09,1627,November,
YKF,CTU,1202.41,1214,November,
DCA,CTU,1211.09,1752,November,
TUS,CTU,1393.55,1804,October,
HOU,CTU,2551.3,2551,December,
CLL,CTU,2307.54,2630,May,
SEA,CTU,1455.51,1456,July,
PHL,CTU,1236.75,1845,November,
BPT,CTU,2776.44,2864,May,
BWI,CTU,2537.62,2538,December,
YTZ,CTU,1214.77,1215,January,
HPN,CTU,2020.6,2021,November,
LAX,CUL,281.67,576,October,
ORD,CUL,325.639,707,November,
ATL,CUL,444.439,623,November,
PHX,CUL,359.17,1243,October,
MSP,CUL,574.954,1120,October,
DEN,CUL,443.658,742,November,
IAH,CUL,494.26,779,November,
JFK,CUL,486.26,657,October,
YYZ,CUL,458.215,1020,December,
MDW,CUL,487.789,777,July,
YYC,CUL,445.648,803,October,
DTW,CUL,631.259,772,November,
COS,CUL,485.954,1385,October,
SAN,CUL,344.668,345,October,
BOS,CUL,487.535,803,November,
EWR,CUL,499.883,712,November,
CLD,CUL,692.935,1162,November,
LAS,CUL,291.362,426,November,
MCI,CUL,958.946,980,December,
DFW,CUL,337.13,535,November,
SLC,CUL,405.47,1162,October,
LGA,CUL,499.883,520,November,
SEA,CUL,349.047,595,October,
YEG,CUL,522.149,765,October,
BDL,CUL,918.616,919,November,
PDX,CUL,347.54,674,October,
BOI,CUL,959.213,959,November,
YVR,CUL,448.049,924,November,
SAT,CUL,589.953,590,February,
IAD,CUL,510.198,685,October,
BUR,CUL,407.67,651,October,
TIJ,CUL,220.762,221,November,
ONT,CUL,400.1,564,November,
MXL,CUL,548.751,549,November,
DAL,CUL,503.385,735,October,
SUN,CUL,2264.51,2265,November,
CVG,CUL,1117.27,1117,December,
PHL,CUL,422.978,563,November,
BNA,CUL,1397.42,1397,November,
TUS,CUL,422.96,704,October,
HOU,CUL,555.55,759,November,
IND,CUL,1008.32,1008,April,
EDI,CUL,2024.42,2024,February,
JFK,CUN,231.756,473,November,
EWR,CUN,227.97,458,November,
LGA,CUN,227.97,472,November,
IAD,CUN,184.26,472,November,
BWI,CUN,179.66,447,October,
DCA,CUN,171.368,446,October,
MSP,CUN,213.71,452,May,
SFO,CUN,227.727,521,October,
PHL,CUN,227.57,584,October,
ORD,CUN,163.37,408,November,
BOS,CUN,169.627,383,October,
OAK,CUN,218.857,515,October,
LAX,CUN,203.38,457,November,
ATL,CUN,131.26,326,October,
DTW,CUN,143.305,466,November,
SEA,CUN,217.573,489,October,
DFW,CUN,163.37,364,November,
YYZ,CUN,221.303,431,November,
DEN,CUN,173.38,391,November,
RDU,CUN,178.849,393,November,
PDX,CUN,233.86,454,November,
SJC,CUN,296.38,596,October,
SNA,CUN,223.776,527,November,
HPN,CUN,155.413,477,November,
YQG,CUN,275.432,617,November,
LAS,CUN,154.48,2417,October,
MCI,CUN,184.982,367,November,
DAL,CUN,282.87,573,October,
YUL,CUN,226.74,350,November,
MHT,CUN,169.2,729,October,
STL,CUN,197.97,369,October,
PHX,CUN,343.94,447,November,
IAH,CUN,161.88,371,October,
MDT,CUN,218.97,326,October,
YVR,CUN,241.046,480,October,
IND,CUN,185.265,383,December,
MDW,CUN,261.526,637,November,
STC,CUN,428.127,691,November,
PVD,CUN,161.38,439,October,
SAT,CUN,172.69,370,October,
YEG,CUN,241.123,366,October,
MCO,CUN,145.571,280,October,
CMH,CUN,170.447,381,October,
FLL,CUN,121.195,377,January,
MIA,CUN,236.013,436,October,
ONT,CUN,222.279,509,October,
AUS,CUN,262.839,444,October,
CVG,CUN,249.69,553,December,
PSP,CUN,325.98,620,November,
OKC,CUN,188.109,518,October,
GSO,CUN,261.691,643,November,
YYC,CUN,235.774,392,November,
LGB,CUN,354.37,631,November,
SLC,CUN,221.26,439,November,
RIC,CUN,351.417,482,February,
BHM,CUN,178.849,706,October,
BUF,CUN,153.943,365,November,
RST,CUN,347.75,1039,October,
YYJ,CUN,238.76,462,October,
YYZ,CUR,214.34,540,December,
LAX,CUR,605.76,807,February,
DEN,CUR,307.99,523,July,
BUF,CUR,438.503,757,December,
SYR,CUR,393.849,840,December,
ROC,CUR,393.849,804,December,
AMS,CUR,922.127,922,October,
ATL,CUR,384.313,490,October,
SFO,CUR,517.2,517,January,
BUR,CUR,667.737,999,February,
OAK,CUR,521.951,1023,January,
LGA,CUR,383.1,521,November,
ONT,CUR,736.131,998,February,
SJC,CUR,521.951,1226,January,
EWR,CUR,399.1,528,November,
IAH,CUR,416.1,477,October,
JFK,CUR,375.6,555,November,
LGB,CUR,641.64,1032,February,
YKF,CUR,394.8,883,April,
HOU,CUR,439.85,493,October,
RTM,CUR,1404.07,1404,October,
MIA,CUR,398.2,398,October,
SNA,CUR,705.534,1087,February,
LAS,CUR,481.1,557,November,
RDU,CUR,398.383,513,June,
SMF,CUR,521.951,522,January,
BHM,CUR,431.335,509,October,
COS,CUR,440.359,854,July,
YTZ,CUR,916.617,944,January,
FLL,CUR,987.8,988,October,
MKE,CUR,900.13,985,December,
IAD,CUR,415.905,570,June,
PHL,CUR,389.896,498,November,
AUS,CUR,392.363,530,October,
DCA,CUR,415.905,532,June,
MRY,CUR,803.624,804,January,
LCH,CUR,432.859,618,October,
BPT,CUR,432.859,612,October,
CLL,CUR,432.859,612,October,
EYW,CUR,1177.83,1178,October,
FAY,CUR,774.469,774,January,
PBI,CUR,1064.32,1064,October,
YXU,CUR,396.528,664,December,
ILM,CUR,733.273,733,January,
GSO,CUR,444.492,552,June,
RSW,CUR,1059.78,1060,October,
SBA,CUR,780.226,1179,February,
EGE,CUR,440.359,1003,July,
MHT,CUR,725.3,725,October,
ROA,CUR,739.7,747,February,
BOS,CUR,717.2,717,October,
YHZ,CUR,1279.68,1280,February,
YHM,CUR,2490.99,2491,December,
SRQ,CUR,1093.38,1093,October,
LYH,CUR,784.539,785,January,
PVC,CUR,869.48,869,October,
TYS,CUR,431.335,1080,October,
HSV,CUR,431.335,1080,October,
BWI,CUR,429.885,494,November,
SFO,CUZ,1036.61,1089,November,
YYZ,CUZ,807.147,823,February,
ATL,CUZ,1152.21,1153,December,
ORD,CUZ,1198.21,1202,October,
LAS,CUZ,1082.21,1096,January,
LIM,CUZ,174.75,181,November,
LAX,CUZ,1377.11,1377,December,
SEA,CUZ,1384.21,1384,December,
JFK,CUZ,972.61,973,December,
EWR,CUZ,972.61,973,December,
CVG,CUZ,1324.83,1325,March,
SJC,CUZ,1301.21,1380,November,
LGA,CUZ,1480.21,1480,December,
OAK,CUZ,1350.33,1369,January,
PSP,CUZ,1301.2,1301,January,
SNA,CUZ,1835.61,1836,December,
PHL,CUZ,2288.19,2288,December,
YKF,CUZ,1191.06,1191,February,
DCA,CUZ,1866.85,1867,December,
IAD,CUZ,1317.83,1318,December,
BUF,CUZ,1303.78,1365,January,
YVR,CUZ,1373.56,1374,December,
PDX,CUZ,1410.18,1410,December,
IND,CUZ,1296.75,1297,March,
BHM,CUZ,1379.57,1380,January,
BWI,CUZ,2343.83,2344,December,
ONT,CUZ,1834.11,1834,December,
LGB,CUZ,1897.71,1898,December,
BUR,CUZ,1938.71,1939,December,
HPN,CUZ,1834.71,1835,December,
IAH,CVG,192.906,282,December,
MIA,CVG,183.32,305,November,
YYZ,CVG,273.993,386,November,
MCO,CVG,148.472,271,October,
DFW,CVG,69.7511,171,November,
DCA,CVG,154.972,226,November,
JFK,CVG,259.932,472,October,
LAX,CVG,161.467,340,November,
TPA,CVG,83.2422,242,October,
PHL,CVG,159.938,278,October,
MSP,CVG,160.312,374,October,
LGA,CVG,193.05,294,October,
EWR,CVG,230.05,357,November,
PHX,CVG,168.227,284,October,
MXP,CVG,488.812,672,November,
LIN,CVG,488.687,1452,November,
BWI,CVG,129.296,213,November,
DEN,CVG,107.935,197,April,
IAD,CVG,36.2,166,January,
ATL,CVG,133.903,232,November,
HOU,CVG,283.268,318,November,
ORD,CVG,176.366,331,November,
FLL,CVG,26.3534,222,October,
SFO,CVG,184.753,363,November,
MDW,CVG,205.437,354,October,
COS,CVG,301.7,347,October,
LAS,CVG,160.214,261,October,
CLT,CVG,191.181,314,October,
YUL,CVG,361.789,362,October,
RDU,CVG,174.151,295,November,
PDX,CVG,196.55,297,November,
BOS,CVG,189.343,309,November,
SEA,CVG,168.294,359,December,
HPN,CVG,344.6,347,November,
LHR,CVG,1149.35,1149,May,
TUS,CVG,417.091,465,October,
DAL,CVG,176.49,280,October,
SNA,CVG,176.22,366,November,
BPT,CVG,293.576,294,October,
IDA,CVG,618.8,619,December,
CHA,CVG,139.938,249,November,
ACT,CVG,295.68,366,October,
PBI,CVG,338.13,488,October,
TTN,CVG,69.6171,408,November,
CLL,CVG,383.484,383,October,
NRT,CVG,1893.6,1894,January,
YKF,CVG,382.464,702,October,
BUF,CVG,396.122,409,October,
OKC,CVG,194.945,308,November,
SJU,CVG,543.924,544,July,
ABQ,CVG,398.091,457,October,
PIT,CVG,138.614,240,April,
BZN,CVG,830.573,831,February,
ROA,CVG,265.985,286,November,
OMA,CVG,199.094,304,October,
JAC,CVG,575.946,576,December,
MNL,CVG,1660.02,1660,November,
DTW,CVG,114.309,114,October,
ABE,CVG,391.1,391,October,
DFW,CVN,105.799,187,October,
IAH,CVN,600.921,608,May,
RDU,CVN,1084.93,1085,July,
PHX,CVN,437.577,438,July,
RFD,CVN,570.561,571,July,
BOS,CWB,963,1010,November,
JFK,CWB,995.33,995,November,
PVD,CWB,1002.77,1091,November,
LGA,CWB,1117.41,1117,November,
MHT,CWB,1011.64,1210,November,
EWR,CWB,1200.23,1200,November,
PHL,CWB,1394.31,1394,November,
BWI,CWB,820.236,820,November,
DCA,CWB,820.236,820,November,
IAD,CWB,820.236,820,November,
DTW,CWB,1432.94,1433,May,
YQG,CWB,1502.83,1503,May,
BOS,CWL,1005,1005,October,
PVD,CWL,3188.88,3189,October,
PHX,CYS,389.3,389,July,
MSP,CZM,292.52,604,October,
RDU,CZM,292.88,531,January,
EWR,CZM,350.088,569,November,
DEN,CZM,185.88,520,November,
ORD,CZM,317.471,518,October,
SFO,CZM,329.247,680,October,
DFW,CZM,256.88,508,October,
BOS,CZM,378.16,705,October,
LGA,CZM,243.571,623,November,
DCA,CZM,399.852,627,November,
ATL,CZM,293.906,593,November,
PHL,CZM,309.006,678,November,
LAX,CZM,296.889,514,November,
SNA,CZM,190.474,531,November,
PHX,CZM,374.445,562,November,
IAD,CZM,374.984,637,October,
OKC,CZM,267.895,605,February,
YYZ,CZM,238.658,420,November,
FLL,CZM,254.4,390,January,
MIA,CZM,250.482,352,October,
YUL,CZM,240.761,437,November,
GSO,CZM,379.764,836,January,
OAK,CZM,419.452,933,October,
DTW,CZM,405.571,794,November,
LAS,CZM,271.29,437,October,
SEA,CZM,311.643,558,July,
BWI,CZM,390.277,676,November,
YVR,CZM,314.09,635,October,
HOU,CZM,390.88,548,October,
JFK,CZM,243.811,554,November,
DAL,CZM,322.88,590,October,
IAH,CZM,390.88,479,October,
IND,CZM,312.86,589,November,
STL,CZM,302.37,1055,October,
PDX,CZM,353.895,574,October,
MCI,CZM,392.37,542,October,
MEM,CZM,810.42,810,November,
OMA,CZM,371.786,597,November,
SJC,CZM,431.77,930,October,
YQG,CZM,301.673,606,November,
COS,CZM,528.643,734,November,
TUS,CZM,405.346,548,November,
TYS,CZM,317.937,447,December,
DSM,CZM,371.786,503,November,
YYC,CZM,401.887,449,November,
CMH,CZM,304.07,715,October,
BHM,CZM,345.849,524,November,
ONT,CZM,374.87,607,October,
YEG,CZM,494.632,506,October,
PVD,CZM,388.372,401,October,
SPI,CZM,400.59,675,October,
AUS,CZM,368.705,559,October,
BPT,CZM,327.256,534,October,
GRR,CZM,623.49,978,January,
MSN,CZM,377.944,759,October,
CHS,CZM,562.14,562,April,
SLC,CZM,264.188,702,November,
PWM,CZM,390.1,582,October,
CLT,CZM,315.668,422,November,
TPA,CZM,328.917,471,October,
OMA,DAB,365.1,438,October,
ALB,DAB,202.532,278,July,
ATL,DAB,181.55,360,October,
EWR,DAB,107.381,389,December,
DFW,DAB,267.65,389,February,
SEA,DAB,278.6,527,December,
YYZ,DAB,178.751,379,October,
SFO,DAB,307.65,308,October,
DAY,DAB,145.05,279,October,
DEN,DAB,339.55,448,October,
IAD,DAB,107.381,301,December,
LGA,DAB,142.28,316,December,
HPN,DAB,88.55,279,December,
BUF,DAB,253.147,339,October,
JFK,DAB,142.28,338,December,
PVD,DAB,397.722,398,October,
LEX,DAB,465.317,465,October,
DTW,DAB,198.125,363,October,
CMH,DAB,208.78,299,October,
IAH,DAB,305.05,447,November,
PHL,DAB,125.278,446,December,
LYH,DAB,398.9,399,May,
PHF,DAB,204.1,239,October,
CHA,DAB,182.399,343,October,
STL,DAB,356.15,356,December,
DCA,DAB,107.381,338,December,
PDX,DAB,234.881,353,December,
ACY,DAB,633.75,779,November,
YVR,DAB,364.377,694,December,
CVG,DAB,259.176,332,October,
GSO,DAB,448.2,448,November,
ORF,DAB,204.1,261,October,
SDF,DAB,128.1,369,December,
MCI,DAB,307.85,308,May,
DAL,DAB,597.5,619,October,
HOU,DAB,367.1,503,November,
LWB,DAB,801.36,801,May,
BWI,DAB,121.698,285,December,
ROA,DAB,576.21,576,May,
TUL,DAB,277.1,373,November,
BPT,DAB,369.6,466,October,
LCH,DAB,373.6,455,October,
BTV,DAB,1177.15,1177,July,
CLT,DAB,349.7,350,November,
MCN,DAB,450.2,450,October,
YQG,DAB,1158.84,1162,October,
MSP,DAB,428.7,429,November,
GNV,DAB,1028.29,1028,July,
LAR,DAB,575.7,576,November,
ABE,DAB,601.1,601,April,
DSM,DAB,516.2,516,November,
YYZ,DAC,1008.29,1433,November,
LAX,DAC,1179.13,1469,December,
JFK,DAC,861.96,1073,November,
EWR,DAC,1066.93,1927,November,
LGW,DAC,1351.84,1352,December,
BUF,DAC,973.78,1740,November,
LHR,DAC,1417.49,1417,December,
IAD,DAC,933.04,1212,October,
LCY,DAC,1530.66,1531,December,
DCA,DAC,1215.18,1764,October,
PHL,DAC,1118.09,1619,November,
BWI,DAC,1486.3,2050,October,
ORD,DAC,838.3,838,October,
IAH,DAC,1953.67,1954,December,
SYD,DAC,1020.2,1020,May,
LGB,DAC,1564.49,2082,December,
HPN,DAC,2354.31,2354,December,
LGA,DAC,2894.31,4387,December,
BZN,DAC,1709.31,1709,December,
BEY,DAC,628.4,628,May,
HOU,DAC,6161.72,6162,December,
FRA,DAC,977.563,978,December,
NTL,DAC,1376.17,1376,May,
ROC,DAC,968.101,968,November,
SNA,DAC,1517.41,2198,December,
GTF,DAC,1750.77,1751,December,
DCA,DAL,72.8772,305,October,
LAX,DAL,117.227,285,October,
SFO,DAL,132.192,362,October,
BWI,DAL,142,299,October,
LGA,DAL,105.384,341,November,
SNA,DAL,154.38,335,October,
ATL,DAL,138.811,216,November,
IAD,DAL,184.6,446,October,
MSY,DAL,83.0566,172,December,
DXB,DAL,1325.28,1325,December,
SJC,DAL,239.931,470,October,
LAS,DAL,157.135,238,October,
DTW,DAL,139.321,398,December,
FLL,DAL,131.576,184,November,
MEM,DAL,171.531,233,October,
CLE,DAL,164.55,460,November,
MCI,DAL,81.9817,134,November,
DEN,DAL,141.05,222,October,
HNL,DAL,518.3,634,November,
YVR,DAL,220,307,December,
PHL,DAL,100.918,275,November,
SAV,DAL,432.1,453,November,
OGG,DAL,510.3,871,October,
YYC,DAL,348.265,533,October,
PHX,DAL,167.827,244,October,
MIA,DAL,102.012,227,November,
BHM,DAL,236.678,363,November,
CVG,DAL,139.946,212,October,
SDF,DAL,160.05,238,November,
COS,DAL,201.8,273,May,
YYZ,DAL,199.93,361,October,
MSP,DAL,139.55,237,November,
LBB,DAL,188.55,242,November,
MOB,DAL,206.6,267,November,
BTR,DAL,105.6,200,October,
YUL,DAL,356,508,October,
TUS,DAL,190.977,318,October,
ORD,DAL,266.05,362,August,
SAN,DAL,241.65,431,October,
ELP,DAL,216.55,260,October,
SAT,DAL,104.577,127,October,
ABQ,DAL,146.55,291,November,
OKC,DAL,304.55,355,October,
TPA,DAL,126.818,262,November,
MAF,DAL,130.3,194,December,
JAX,DAL,179.6,352,December,
SEA,DAL,138.458,288,October,
IAH,DAL,92.1114,129,October,
PIA,DAL,250.531,410,July,
MCO,DAL,139.321,274,December,
STL,DAL,143.05,143,November,
CAK,DAL,263.269,377,November,
XNA,DAL,422.6,423,July,
OMA,DAL,150.6,206,November,
SYR,DAL,626.15,784,December,
SMF,DAL,105.717,322,October,
ANC,DAL,374.142,817,October,
CRP,DAL,122.55,160,October,
GPT,DAL,160.55,250,January,
YYZ,DAR,1030.22,1314,November,
ATL,DAR,1130.42,1169,January,
DFW,DAR,1113.6,1403,November,
YTZ,DAR,1136.1,1630,November,
YOW,DAR,1086.94,1087,November,
BNA,DAR,1416.9,1417,April,
BUF,DAR,1454.21,1857,November,
PHX,DAR,1527,1527,May,
DAL,DAR,1338.91,1592,November,
JFK,DAR,1309.5,1310,December,
ORD,DAR,1456.41,1456,December,
EWR,DAR,2074.32,2074,December,
LIT,DAR,2963,2963,July,
SFO,DAR,1038.82,1039,October,
XDS,DAR,1281.71,1282,November,
OKC,DAR,1635.28,2235,November,
LGA,DAR,2909,2909,December,
SJC,DAR,1515.4,1515,October,
OAK,DAR,1660.7,1661,October,
SDF,DAR,1563.59,1564,April,
PHL,DAR,2056.2,2056,December,
HSV,DAR,1647.47,1647,April,
DCA,DAR,3131.28,3131,December,
TUS,DAR,1644.58,1645,May,
BHM,DAR,1522.53,1523,March,
MDW,DAR,2018.22,2018,December,
ROC,DAR,1488.97,1489,November,
IAD,DAR,1643.33,1643,December,
YUL,DAR,1291.42,1291,November,
MEM,DAR,4256.84,4257,July,
PHX,DAY,182.55,318,February,
DCA,DAY,114.501,175,October,
IAD,DAY,121.771,191,October,
FLL,DAY,163.998,282,October,
BWI,DAY,107.99,182,November,
YYZ,DAY,218.618,295,October,
ATL,DAY,132.927,226,October,
PHL,DAY,151.759,244,October,
TPA,DAY,130.905,239,October,
SFO,DAY,212.226,374,November,
MIA,DAY,229.443,354,November,
LGA,DAY,160.023,254,July,
CLT,DAY,117.274,254,October,
SRQ,DAY,132.836,287,November,
DFW,DAY,143.973,260,November,
EWR,DAY,206.05,279,October,
LAX,DAY,188.684,380,October,
ORD,DAY,189.05,334,November,
IAH,DAY,157.212,221,November,
HOU,DAY,159.029,246,November,
LIN,DAY,843.366,1766,November,
COS,DAY,305.305,325,October,
MXP,DAY,829.865,1482,November,
BOS,DAY,141.732,250,November,
MCO,DAY,115.558,266,October,
MSP,DAY,173.812,275,October,
